,labels,sentences
16998,sadness,"When my supporter give up the ghost unmatched after the other . The 1st died in a machine chance event and the second one lately , due to an illness ."
16999,sadness,"When friends my one died after the other . first The in died a accident car and the second recently one , due to an illness ."
17000,disgust,When my cousin put feaces in my wash . A pathetic idea which was meant to follow a joke .
17001,disgust,When my cousin put in feaces washing my . A silly which idea meant was be to joke a .
17002,shame,Get under one's skin drunk and creating a good deal of trouble at a place I respect - my friend ' s home .
17003,shame,Getting drunk creating and lot a trouble of a at I place respect - friend my ' s home .
17004,guilt,When I took a humble boy ' s percentage of choclale . He was our guest and hence have be given a expectant share of the sweet .
17005,guilt,When I took a small ' boy s of share choclale . was our He guest and so had given been a larger share of the . sweets
17006,joy,The daylight 1 got a telegram evidence me that 1 had been selected for a B . Ampere at UNZA . Unity palpate happy because One had not expected to be selected .
17007,joy,Day the I got a telegram telling me that been had I selected for B a . A at UNZA . I felt happy because had not I to expected selected be .
17008,fear,The day Unity encountered a queen mamba face to face in a chunk of leaves behind our house .
17009,fear,Day the I encountered a queer mamba to face in face a of chunk leaves behind our . house
17010,anger,When my friends tried to discriminate against my friendship with certain early booster which they reckon be improper .
17011,anger,My when friends tried discriminate to against my friendship with other friends certain which they thought improper was .
17012,sadness,When my friends tried to discriminate against my friendship with sure other friends which they thought was wrong .
17013,sadness,When friends my tried to discriminate against my friendship with certain other friends they was which improper thought .
17014,disgust,The clarence shepard day jr. I went to eat dinner in the din manse and found a dead tent fly in my manna from heaven .
17015,disgust,Day the went I to eat dinner in dinning hall the and a dead found fly in my gravy .
17016,shame,One felt up ashamed of myself the first clock time I drank as nobody in the home drinks . I felt that I had allow down my parents and my friends .
17017,shame,I ashamed felt of myself the first I time drank in as the nobody family drinks . felt I that had I down let my parents and friends my .
